CustCode,CustName,VouchDate,Voucher,ReffNo,,Debit,,Credit,,Balance,,,,
TSL021-EUR,Linden Comansa Renting S.L.,,,,,,,,,,,,,
,,4/7/2020,PI012040,FVA20_200031,,"9,000.00",,0,,"9,000.00",,,,
,,,,,,"9,000.00",,0,,"9,000.00",,,,
,,,,,,"18,000.00",,0,,"18,000.00",,,,
TSA002-GTE,Alpha Machiner Pte Ltd - Greatearth Clementi N8C1,,,,,,,,,,,,,
,,4/1/2020,PI011992,43940,,"4,173.00",,0,,"4,173.00",,,,
,,4/1/2020,PI011993,43941,,"4,173.00",,0,,"4,173.00",,,,
,,5/1/2020,PI012055,43969,,"4,173.00",,0,,"4,173.00",,,,
,,5/1/2020,PI012056,43970,,"4,173.00",,0,,"4,173.00",,,,
,,,,,,"34,692.00",,0,,"34,692.00",,,,
TSA002-PSR,Alpha Machinery Pte Ltd - Kwan Yong  Pasir Ris,,,,,,,,,,,,,
,,4/1/2020,PI011994,43942,,"4,815.00",,0,,"4,815.00",,,,
,,5/1/2020,PI012057,43971,,"4,815.00",,0,,"4,815.00",,,,
,,,,,,"9,630.00",,0,,"9,630.00",,,,
TSA004-AMB,Access Systems Technology P/L- China Con AmberRoad,,,,,,,,,,,,,
,,4/16/2020,PI012019,IN2004063,,"2,247.00",,0,,"2,247.00",,,,
,,,,,,"2,247.00",,0,,"2,247.00",,,,
TSA004-CKR,Access SystemsTechnology P/L -CKR@Geylang C26A,,,,,,,,,,,,,
,,11/25/2019,PI011463,IN1911068,,"1,783.33",,0,,"1,783.33",,,,
,,,,,,"1,783.33",,0,,"1,783.33",,,,
TSA004-CPS,Access Systems Technology P/L-China con ProjectSun,,,,,,,,,,,,,
,,4/16/2020,PI012018,IN2004062,,"2,675.00",,0,,"2,675.00",,,,
,,,,,,"2,675.00",,0,,"2,675.00",,,,
TSA004-FBB,Access Systems Technology P/L-Obayashi Facebookcoc,,,,,,,,,,,,,
,,7/29/2019,PI011074,IN1907078,,"326,756.25",,0,,"326,756.25",,,,
,,9/27/2019,PI011237,IN1909063,,"272,676.13",,0,,"272,676.13",,,,
,,12/2/2019,PI011468,IN1912020,,"272,676.13",,0,,"272,676.13",,,,
,,12/2/2019,PI011469,IN1912021,,"2,439.60",,0,,"2,439.60",,,,
,,12/16/2019,PI011588,IN1912045,,"2,140.00",,0,,"2,140.00",,,,
,,1/2/2020,PI011703,IN2001020,,"272,676.13",,0,,"272,676.13",,,,
,,1/2/2020,PI011704,IN2001021,,"2,439.60",,0,,"2,439.60",,,,
,,1/14/2020,PI011707,IN2001056,,"76,953.06",,0,,"76,953.06",,,,
,,1/14/2020,PI011708,IN2001057,,"142,473.86",,0,,"142,473.86",,,,
,,1/14/2020,PI011709,IN2001059,,"1,605.00",,0,,"1,605.00",,,,
,,2/3/2020,PI011873,IN2002020,,"349,629.19",,0,,"349,629.19",,,,
,,2/3/2020,PI011874,IN2002021,,"3,049.50",,0,,"3,049.50",,,,
,,2/4/2020,PI011875,IN2002037,,76.24,,0,,76.24,,,,
,,2/13/2020,PI011876,IN2002067,,"9,148.50",,0,,"9,148.50",,,,
,,3/2/2020,PI011918,IN2003019,,"349,629.19",,0,,"349,629.19",,,,
,,3/2/2020,PI011919,IN2003020,,"3,049.50",,0,,"3,049.50",,,,
,,3/2/2020,PI011920,IN2003042,,381.19,,0,,381.19,,,,
,,3/2/2020,PI011921,IN2003046,,"1,829.70",,0,,"1,829.70",,,,
,,4/1/2020,PI011977,IN2004018,,"349,629.19",,0,,"349,629.19",,,,
,,4/1/2020,PI011978,IN2004019,,"3,049.50",,0,,"3,049.50",,,,
,,4/1/2020,PI012016,IN2004055,,460.1,,0,,460.1,,,,
,,,,,,"2,442,767.56",,0,,"2,442,767.56",,,,
TSA004-HLV,Access Systems Technology P/L- Hyundai Labrador,,,,,,,,,,,,,
,,4/1/2020,PI012017,IN2004061,,"1,605.00",,0,,"1,605.00",,,,
,,,,,,"1,605.00",,0,,"1,605.00",,,,
TSA004-SGD,Access Systems Technology P/L-Misc,,,,,,,,,,,,,
